epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1167.96,1.96763,1.23319,0.00146,0.50603,0.37919,0.37786,0.07895,3.4915,2.29305,0.00342,9.99684e-05,9.99684e-05,0.0401031
2,2231.97,1.32574,0.59897,0.0009,0.5636,0.43773,0.43631,0.09334,3.45608,2.0788,0.00339,0.00019875,0.00019875,0.0302019
3,3293.41,1.07465,0.40282,0.00071,0.50797,0.38322,0.37936,0.07488,3.6353,2.31459,0.00357,0.000292701,0.000292701,0.0202959
4,4354.15,0.90046,0.31439,0.00059,0.53107,0.39383,0.4025,0.07732,3.65323,2.26098,0.00366,0.000378389,0.000378389,0.0103815
5,5414.85,0.80583,0.27828,0.00052,0.53779,0.41681,0.36761,0.06537,3.64182,2.06095,0.00361,0.000452703,0.000452703,0.000455859
6,6468.16,0.71661,0.24841,0.00046,0.52231,0.39966,0.3461,0.06234,3.68223,1.99127,0.00375,0.000427509,0.000427509,0.000427509
7,7516.58,0.66391,0.22605,0.00042,0.43621,0.30978,0.29595,0.05399,3.76342,2.59434,0.00391,0.000397977,0.000397977,0.000397977
8,8566.49,0.6164,0.20875,0.00039,0.49543,0.36535,0.30036,0.05636,3.73588,2.37151,0.00392,0.000364863,0.000364863,0.000364863
9,9619.03,0.57156,0.19325,0.00036,0.5123,0.39211,0.36236,0.06829,3.73994,2.2079,0.00396,0.000328982,0.000328982,0.000328982
    
