epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1238.78,1.6449,0.78891,0.00118,0.41522,0.3681,0.29075,0.04937,3.77768,1.6241,0.00355,0.000199937,0.000199937,0.0402031
2,2377.35,1.07626,0.3661,0.00071,0.48502,0.40549,0.35764,0.0743,3.58444,1.80171,0.00337,0.0003975,0.0003975,0.0304007
3,3502.08,0.8819,0.28758,0.00057,0.49063,0.41509,0.35927,0.07633,3.5997,1.73905,0.00344,0.000585402,0.000585402,0.0205886
4,4626.54,0.75534,0.24847,0.00048,0.52033,0.40652,0.32522,0.06361,3.54339,2.88033,0.00342,0.000756779,0.000756779,0.0107599
5,5749.08,0.6762,0.22418,0.00043,0.39503,0.34511,0.20618,0.03493,3.72228,1.78191,0.00345,0.000905406,0.000905406,0.000908562
6,6875.53,0.59863,0.19293,0.00038,0.49639,0.41304,0.32442,0.05954,3.73779,1.66981,0.00381,0.000855018,0.000855018,0.000855018
7,7994.61,0.53131,0.1722,0.00033,0.47585,0.38651,0.28397,0.04932,3.78963,1.87556,0.00396,0.000795954,0.000795954,0.000795954
8,9114.03,0.49182,0.16198,0.00031,0.50276,0.3538,0.25795,0.04007,3.91422,1.97704,0.00426,0.000729725,0.000729725,0.000729725
9,10234.1,0.45294,0.15246,0.00028,0.50525,0.3681,0.28411,0.05034,3.75066,2.01321,0.00403,0.000657963,0.000657963,0.000657963
10,11353.9,0.4033,0.13558,0.00025,0.49956,0.35094,0.28991,0.05093,3.84317,2.19826,0.00412,0.000582435,0.000582435,0.000582435
11,12476.3,0.378,0.12908,0.00023,0.50288,0.33141,0.31229,0.05791,3.8514,2.50885,0.00422,0.000505,0.000505,0.000505
12,13600.5,0.33713,0.11627,0.00021,0.43045,0.30671,0.22759,0.03943,3.86484,2.15226,0.00428,0.000427565,0.000427565,0.000427565
13,14723.8,0.31516,0.10886,0.00019,0.48299,0.37736,0.27114,0.04672,3.75472,2.11499,0.00404,0.000352037,0.000352037,0.000352037
