epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1871.87,1.64621,0.79069,0.00118,0.63563,0.50703,0.49656,0.11288,3.46859,1.79369,0.00346,0.000199937,0.000199937,0.0402031
2,3709.07,1.09456,0.36717,0.00073,0.56999,0.46654,0.42467,0.08507,3.60166,1.74922,0.00371,0.000362128,0.000362128,0.0303653
3,5536.94,0.77258,0.26016,0.0005,0.43562,0.41201,0.36094,0.08046,3.71935,3.48861,0.00394,0.000394737,0.000394737,0.0203979
4,7352.86,0.57395,0.19646,0.00036,0.38973,0.40858,0.32436,0.06555,3.80237,3.17053,0.00399,0.000281607,0.000281607,0.0102848
5,9172.24,0.42879,0.1543,0.00027,0.44056,0.40172,0.34347,0.06928,3.8035,3.3588,0.00402,0.00010453,0.00010453,0.000107686
